run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
10,1263,1,56,2,14.212108376693777,18.44523065941121,0.05555555555555555,0.25925925925925924,64.13953744779593,70.57250015039413,0.9088460421709705,0.017857142857142856,1493.0,5.0,37.0,5.0,5.9254832485507904,7.7813541677172,0.40625,0.90625,58.01898274305907,67.62001740104442,0.858014904062461,0.02702702702702703,1476,4,38,4,6.086519040537269,8.161425338928984,0.4117647058823529,0.8823529411764706,58.0137702985936,67.51904693622402,0.8592208114754827,0.02631578947368421,1644,7,28,7,3.62029340332856,5.077250476127119,0.7619047619047619,1.0,57.73104866526421,61.999734495122546,0.9311499337115041,0.03571428571428571
11,1307,1,52,1,10.4901356690998,15.024693330160517,0.19607843137254902,0.47058823529411764,69.02206599427682,78.76882782533677,0.8762611797058529,0.019230769230769232,1476.0,5.0,38.0,5.0,6.191461028518006,8.162332730189064,0.42424242424242425,1.0,62.36005814125942,67.8204712800844,0.9194872427784435,0.02631578947368421,1460,4,40,4,6.57634771669359,8.557570218067667,0.3888888888888889,0.9722222222222222,62.445693118167995,68.03455555208653,0.9178525913990904,0.025,1644,7,28,7,2.916308949291306,5.0917865572268965,0.7619047619047619,1.0,60.866735323304994,64.79485628304185,0.9393760371567499,0.03571428571428571
12,1177,1,66,1,16.860912514625397,21.367762856785614,0.015384615384615385,0.18461538461538463,73.45896927415086,84.30363056142559,0.871361871190434,0.015151515151515152,1660.0,5.0,28.0,5.0,4.3720163597186,6.291246279526149,0.5652173913043478,1.0,71.36819782873522,78.48136170989216,0.9093649278480809,0.03571428571428571,1504,4,37,4,6.853375081548165,9.624838030962655,0.2727272727272727,0.8181818181818182,70.81612218523846,75.80818504926852,0.934148761630612,0.02702702702702703,1752,6,23,6,3.2234433201697357,4.925930979651002,0.8235294117647058,1.0,70.25551880604587,73.8776930444471,0.9509706639564122,0.043478260869565216
13,1115,1,73,1,19.969140076365193,25.798661623721454,0.05555555555555555,0.09722222222222222,64.1070814414829,72.52427607706765,0.8839396255863313,0.0136986301369863,1279.0,5.0,55.0,5.0,12.081727810790198,15.623860021280052,0.08,0.42,59.64966495271994,69.68598713406755,0.855977900377031,0.01818181818181818,1313,6,52,7,10.211192141601714,13.959994181788625,0.1111111111111111,0.4666666666666667,59.46145696819978,68.45250408086473,0.8686527653971053,0.019230769230769232,1534,9,35,9,5.021586000965954,6.977007788471383,0.5,1.0,56.73511907157274,63.731243905682824,0.8902245679613002,0.02857142857142857
14,1539,1,34,1,5.053840695361032,7.264097458777269,0.48484848484848486,1.0,65.08705567605008,70.2752407528046,0.9261733574844072,0.029411764705882353,1865.0,5.0,19.0,5.0,2.4049461113952475,2.939845450015582,1.0,1.0,72.37222157932567,80.02222769798145,0.9044014852032325,0.05263157894736842,1657,3,28,3,3.621707049881934,5.260722376329888,0.76,1.0,74.7181415428177,79.96198583259977,0.9344207846368393,0.03571428571428571,1865,5,19,5,2.4049461113952475,2.939845450015582,1.0,1.0,72.37222157932567,80.02222769798145,0.9044014852032325,0.05263157894736842
15,1321,1,51,1,9.663127443841177,12.865448584798832,0.08,0.58,66.41806923739406,75.53825495480994,0.8792640136726491,0.0196078431372549,1620.0,5.0,30.0,5.0,5.779419470046832,6.615633934401649,0.32,1.0,62.33635188114717,66.69711155281507,0.9346184629267675,0.03333333333333333,1566,4,33,4,6.289364921740798,7.0365244821739,0.2413793103448276,1.0,63.46712436805757,68.1880338902093,0.9307663052764809,0.030303030303030304,1829,5,20,5,4.0091187151797385,4.5014016596643165,1.0,1.0,62.27933202689914,66.79067753426597,0.9324554612422917,0.05
16,1239,1,59,1,12.587820845321858,17.292416055557716,0.034482758620689655,0.2413793103448276,74.50186498276774,80.57228866933728,0.9246586663129043,0.01694915254237288,1718.0,5.0,25.0,5.0,2.1580425252363966,3.8062009657001914,1.0,1.0,66.54715569527038,69.31662980138674,0.9600460363688808,0.04,1549,4,34,4,4.986038286410576,6.1119425765066815,0.5,1.0,71.74746029572516,77.03784140212282,0.9313275007436556,0.029411764705882353,1829,5,20,5,1.478736567732085,1.9619541902933635,1.0,1.0,65.55087383958156,66.81055067693947,0.9811455402687961,0.05
17,1225,1,60,1,15.494621187632674,19.995924057025604,0.0847457627118644,0.1864406779661017,63.343005108427235,71.02048804120858,0.8918976320139254,0.016666666666666666,1517.0,5.0,36.0,5.0,6.803644235121283,8.016979765737688,0.3870967741935484,0.9354838709677419,63.17736689049504,69.32103279641235,0.9113737107183539,0.027777777777777776,1448,4,40,4,7.569565108440202,9.795566898535071,0.19444444444444445,0.8055555555555556,63.27815565628114,69.86626361659643,0.9057040176576681,0.025,1731,6,24,6,3.941208021432203,4.920480575089277,0.8333333333333334,1.0,59.878043542215664,65.01501000093643,0.9209879924859387,0.041666666666666664
18,1235,1,59,1,15.319322210791825,18.32810902439378,0.034482758620689655,0.20689655172413793,72.14623502671715,81.41165519567397,0.8861904951239812,0.01694915254237288,1434.0,5.0,41.0,5.0,7.718857892295091,10.88970337721048,0.2222222222222222,0.7222222222222222,71.65057782219307,76.53843875137103,0.9361384814098993,0.024390243902439025,1434,5,41,5,7.718857892295091,10.88970337721048,0.2222222222222222,0.7222222222222222,71.65057782219307,76.53843875137103,0.9361384814098993,0.024390243902439025,1698,7,26,7,4.00116704463062,5.225223868574995,0.7368421052631579,1.0,66.68384795382639,72.23652573770175,0.9231319927533931,0.038461538461538464
19,1238,1,59,1,9.13028726938478,13.787506561637656,0.1206896551724138,0.6206896551724138,59.07067165568441,67.53976724382616,0.8746057925019587,0.01694915254237288,1371.0,5.0,46.0,5.0,5.769776415575052,7.377685163806291,0.4146341463414634,1.0,56.84160499200783,65.88703284766699,0.862713079270507,0.021739130434782608,1371,5,46,5,5.769776415575052,7.377685163806291,0.4146341463414634,1.0,56.84160499200783,65.88703284766699,0.862713079270507,0.021739130434782608,1485,10,38,10,3.6383437182830676,4.726150922379747,0.8571428571428571,1.0,61.16108104396288,66.40733520440789,0.920998875436026,0.02631578947368421
