function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0
cec2017_f11,0.01,1100.0,34,0.6666666666666666,426.0,546.5,755.0,0.0010564912062643714,1.2007271688674372,0.7402511801906119,0.4040794513227042,0.30114901576556513,69.0,48.0,85.0,0.03112341868988726,1.0,0.9688765813101128,0.46561625306872556,395980.0,0.8235294117647058,0.11442262739597943,1.0,0.22984220565285243,1.0,0.48333333333333334,1.0,0.9340277777777778,1.0,1.0,1.0,1.0
cec2017_f11,1.0,1100.0,37,0.7254901960784313,375.0,485.0,2077.0,0.0007484121525951697,4.659899809241056,0.7410968098547063,0.405085281111813,0.29692435249526217,76.0,5.0,93.0,0.029227923963459534,1.0,0.9707720760365405,0.46083704829627803,349083.0,0.0,0.013157894736842105,0.0,0.014925373134328358,0.43243243243243246,0.05172413793103448,0.8918918918918919,0.24242424242424243,0.972972972972973,0.5543478260869565,1.0,0.925
cec2017_f11,10.0,1100.0,51,1.0,71.0,111.0,147.0,0.009123434704830053,0.9510163683996132,0.7871198568872988,1.0,0.7871198568872988,148.0,139.0,159.0,0.1522259951093476,1.0,0.8477740048906524,0.5735220218147338,151699.0,0.0,0.006756756756756757,0.0,0.006756756756756757,0.0,0.006756756756756757,0.0,0.006756756756756757,0.0196078431372549,0.0070921985815602835,0.8235294117647058,0.0784313725490196
cec2017_f11,100.0,1100.0,51,1.0,17.0,34.0,45.0,0.03032104637336504,1.193092363463576,0.5392390011890607,1.0,0.5392390011890607,169.0,166.0,174.0,0.21056149697036275,1.0,0.7894385030296373,0.6311956861217193,72928.0,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.005917159763313609
cec2017_f11,400.0,1100.0,51,1.0,4.0,10.0,20.0,0.09357798165137615,1.815729880791744,0.9009174311926605,1.0,0.9009174311926605,177.0,173.0,178.0,0.22382617705673646,1.0,0.7761738229432635,0.5944722217883639,36368.0,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.005649717514124294
cec2017_f12,0.01,1200.0,4,0.0784313725490196,541.0,588.0,631.0,0.00012498047180128105,0.5682983045575298,0.7810505881448451,1.0,0.7810505881448451,64.0,59.0,69.0,0.10892808670015088,0.8805998384541399,0.771671751753989,0.5097065369261286,534778.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cec2017_f12,1.0,1200.0,25,0.49019607843137253,380.0,515.0,603.0,0.0008846426043878273,0.6325095814044884,0.8188130029340848,1.0,0.8188130029340848,73.0,62.0,92.0,0.1036604390488311,0.8969892494666791,0.793328810417848,0.5154860487367832,452223.0,0.8,0.15217391304347827,1.0,0.5671641791044776,1.0,0.6883116883116883,1.0,0.6883116883116883,1.0,0.6883116883116883,1.0,0.96875
cec2017_f12,10.0,1200.0,25,0.49019607843137253,291.0,385.0,517.0,0.0010775397612171889,0.9057296234716248,0.8174726989079563,1.0,0.8174726989079563,91.0,72.0,108.0,0.10741997641197028,0.8861169816973514,0.7786970052853811,0.5158130709572251,438977.0,0.0,0.01098901098901099,0.0,0.030303030303030304,0.8,0.09411764705882353,0.96,0.33695652173913043,1.0,0.35294117647058826,1.0,0.6823529411764706
cec2017_f12,100.0,1200.0,30,0.5882352941176471,167.0,223.5,339.0,0.00212781048301298,1.2639968114780658,0.8775370059514727,1.0,0.8775370059514727,121.5,99.0,134.0,0.1221188586515785,0.8776571842099737,0.7555383255583953,0.522463903851362,395068.0,0.0,0.008230592060696384,0.0,0.008230592060696384,0.0,0.008230592060696384,0.03333333333333333,0.016461184121392768,0.8,0.07630732099758648,0.9666666666666667,0.2918521054433413
cec2017_f12,400.0,1200.0,51,1.0,149.0,170.0,193.0,0.005910302468420442,1.3568010505999362,0.9120407926758605,1.0,0.9120407926758605,133.0,128.0,138.0,0.15855573843014778,0.8882958387805747,0.7297401003504269,0.5496996319955056,261264.0,0.0,0.007518796992481203,0.0,0.007518796992481203,0.0,0.007518796992481203,0.0,0.007518796992481203,0.0392156862745098,0.014814814814814815,0.7058823529411765,0.06060606060606061
